,carat,cut,cut_ord,color,clarity,clarity_ord,,
528,1.57,Ideal,5,H,I1,1,,9183.91
529,0.71,Ideal,5,F,VS1,4,,3310.73
530,0.72,Good,2,G,VS2,5,,3374.56
531,1.12,Ideal,5,H,SI1,3,,6306.06
532,0.31,Ideal,5,H,IF,8,,1761.53
533,0.7,Ideal,5,F,SI1,3,,2772.6
534,0.53,Ideal,5,H,VS1,4,,1796.39
535,0.3,Ideal,5,H,IF,8,,1677.4
536,0.73,Premium,4,G,VVS2,6,,4228.89
537,0.4,Premium,4,E,VS1,4,,544.6
538,1.09,Premium,4,H,SI1,3,,5895.57
539,1.21,Premium,4,I,VS2,5,,7813.13
540,0.32,Ideal,5,D,VVS2,6,,937.66
541,0.31,Ideal,5,G,VVS1,7,,1307.53
542,0.43,Premium,4,I,IF,8,,2612.99
543,0.3,Ideal,5,E,VS2,5,,315.4
544,1,Ideal,5,H,I1,1,,4388.5
545,0.3,Ideal,5,E,SI2,2,,-1046.6
546,0.61,Very Good,3,G,VS2,5,,2607.23
547,0.33,Very Good,3,E,SI1,3,,-656.41
548,0.62,Premium,4,F,VS2,5,,2849.46
549,1.1,Premium,4,G,VS2,5,,6887.7
550,0.32,Ideal,5,F,VS1,4,,29.66
551,1.08,Very Good,3,F,SI1,3,,5653.34
552,0.41,Ideal,5,G,SI2,2,,-121.17
553,1,Ideal,5,G,SI1,3,,5296.5
554,1,Ideal,5,E,SI1,3,,5296.5
555,0.37,Ideal,5,G,IF,8,,2266.31
556,0.35,Premium,4,E,SI2,2,,-784.05
557,1.2,Good,2,H,SI1,3,,6504.8
558,0.5,Premium,4,E,SI1,3,,931.9
559,0.43,Ideal,5,G,VVS2,6,,1863.09
560,0.42,Very Good,3,G,VS2,5,,1008.76
561,0.59,Ideal,5,E,SI1,3,,1847.17
562,1.4,Ideal,5,H,SI2,2,,8207.7
563,0.66,Good,2,F,VS2,5,,2869.78
564,1.02,Ideal,5,I,VS2,5,,6372.76
565,0.53,Ideal,5,H,VS2,5,,2250.39
566,0.51,Good,2,F,SI1,3,,699.83
567,0.42,Very Good,3,D,SI2,2,,-353.24
568,2.03,Ideal,5,H,SI2,2,,13507.89
569,0.41,Premium,4,H,VS1,4,,628.73
570,0.41,Ideal,5,F,VS1,4,,786.83
571,0.3,Very Good,3,H,VS2,5,,-0.8
572,1.11,Ideal,5,F,VS2,5,,7129.93
573,0.31,Very Good,3,J,VS2,5,,83.33
574,0.7,Good,2,F,SI1,3,,2298.3
575,0.4,Premium,4,E,SI1,3,,90.6
576,0.33,Ideal,5,G,SI2,2,,-794.21
577,0.9,Very Good,3,F,SI2,2,,3685
578,0.31,Ideal,5,F,VS2,5,,399.53
579,1.15,Ideal,5,D,VS2,5,,7466.45
580,1.01,Ideal,5,D,VVS2,6,,6742.63
581,0.42,Ideal,5,G,VS1,4,,870.96
582,0.91,Ideal,5,J,VS1,4,,4993.33
583,1.26,Premium,4,I,SI1,3,,7325.78
584,1.28,Ideal,5,G,VS1,4,,8106.14
585,1.17,Ideal,5,G,VVS2,6,,8088.71
586,1.02,Premium,4,G,SI2,2,,4852.66
587,0.57,Ideal,5,E,VS2,5,,2586.91
588,0.91,Very Good,3,I,VS2,5,,5131.13
589,1,Ideal,5,I,VS2,5,,6204.5
590,0.7,Good,2,D,VS1,4,,2752.3
591,1.14,Very Good,3,D,VS2,5,,7066.12
592,0.9,Very Good,3,F,SI2,2,,3685
593,0.3,Ideal,5,G,IF,8,,1677.4
594,0.27,Ideal,5,E,VS1,4,,-390.99
595,0.34,Ideal,5,I,IF,8,,2013.92
596,0.33,Ideal,5,G,IF,8,,1929.79
597,2,Ideal,5,G,SI2,2,,13255.5
598,0.7,Premium,4,G,VS2,5,,3522.5
599,0.37,Good,2,F,VS2,5,,430.01
600,0.73,Ideal,5,D,VS2,5,,3932.99
601,0.38,Ideal,5,E,SI1,3,,80.44
602,1,Premium,4,I,VS1,4,,5592.4
603,0.39,Premium,4,G,IF,8,,2276.47
604,0.51,Premium,4,E,VS2,5,,1924.03
605,0.7,Very Good,3,F,SI1,3,,2456.4
606,1.11,Good,2,H,SI2,2,,5293.63
607,0.34,Ideal,5,E,VVS1,7,,1559.92
608,1.25,Ideal,5,J,SI1,3,,7399.75
609,0.52,Ideal,5,J,SI1,3,,1258.26
610,1,Very Good,3,H,SI2,2,,4526.3
611,0.33,Ideal,5,F,VVS1,7,,1475.79
612,1.8,Ideal,5,D,SI2,2,,11572.9
613,0.3,Good,2,H,VS1,4,,-612.9
614,0.7,Very Good,3,E,VS1,4,,2910.4
615,1.08,Ideal,5,G,VS2,5,,6877.54
616,0.61,Good,2,G,I1,1,,633.13
617,1.1,Premium,4,G,VS2,5,,6887.7
618,0.41,Premium,4,F,VS2,5,,1082.73
619,0.33,Very Good,3,G,VS2,5,,251.59
620,0.5,Premium,4,J,SI1,3,,931.9
621,0.38,Premium,4,D,VS1,4,,376.34
622,2.01,Ideal,5,H,SI2,2,,13339.63
623,0.42,Ideal,5,D,SI1,3,,416.96
624,1.52,Ideal,5,G,SI1,3,,9671.26
625,0.53,Ideal,5,E,VS1,4,,1796.39
626,0.7,Very Good,3,E,IF,8,,4726.4
627,0.72,Ideal,5,G,VS2,5,,3848.86
628,0.9,Very Good,3,E,SI1,3,,4139
629,1.22,Ideal,5,I,SI1,3,,7147.36
630,0.25,Very Good,3,F,VVS1,7,,486.55
631,2.03,Ideal,5,I,VS2,5,,14869.89
632,1.02,Ideal,5,G,SI2,2,,5010.76
633,0.74,Ideal,5,J,VS1,4,,3563.12
634,1.24,Premium,4,H,SI1,3,,7157.52
635,1.15,Premium,4,G,SI2,2,,5946.35
636,2.01,Premium,4,I,SI2,2,,13181.53
637,0.71,Premium,4,F,IF,8,,4968.63
638,0.56,Ideal,5,D,SI2,2,,1140.78
639,1.01,Ideal,5,H,SI1,3,,5380.63
640,0.31,Ideal,5,F,IF,8,,1761.53
641,1.19,Ideal,5,D,SI2,2,,6440.97
642,0.5,Ideal,5,D,VS2,5,,1998
643,1.02,Premium,4,G,SI1,3,,5306.66
644,0.38,Premium,4,E,SI1,3,,-77.66
645,0.41,Ideal,5,F,VVS2,6,,1694.83
646,1.52,Ideal,5,D,SI2,2,,9217.26
647,1.22,Ideal,5,G,VS2,5,,8055.36
648,0.53,Ideal,5,D,VS2,5,,2250.39
649,0.4,Very Good,3,D,SI1,3,,-67.5
650,0.33,Premium,4,D,SI1,3,,-498.31
651,0.31,Ideal,5,H,VS1,4,,-54.47
652,1.14,Premium,4,D,SI1,3,,6316.22
653,1.32,Premium,4,I,SI2,2,,7376.56
654,0.23,Very Good,3,F,VVS1,7,,318.29
655,0.41,Very Good,3,G,VVS2,6,,1378.63
656,2.24,Ideal,5,I,SI2,2,,15274.62
657,0.55,Ideal,5,D,VS2,5,,2418.65
658,2.32,Fair,1,H,SI1,3,,15769.26
659,1.25,Ideal,5,J,VS2,5,,8307.75
660,0.31,Ideal,5,F,SI1,3,,-508.47
661,2.01,Fair,1,H,VS2,5,,14069.23
662,0.55,Ideal,5,E,SI1,3,,1510.65
663,0.7,Very Good,3,E,VVS2,6,,3818.4
664,1.51,Good,2,D,VS1,4,,9566.83
665,0.31,Ideal,5,F,VVS1,7,,1307.53
666,0.95,Ideal,5,H,SI1,3,,4875.85
667,0.24,Ideal,5,G,VS1,4,,-643.38
668,0.4,Premium,4,D,SI2,2,,-363.4
669,1.25,Premium,4,H,SI2,2,,6787.65
670,0.24,Very Good,3,E,VVS1,7,,402.42
671,0.83,Ideal,5,F,SI1,3,,3866.29
672,1.01,Very Good,3,G,VS2,5,,5972.43
673,0.27,Very Good,3,F,VVS1,7,,654.81
674,1.1,Ideal,5,F,VS1,4,,6591.8
675,0.3,Premium,4,G,VVS2,6,,611.3
676,0.52,Ideal,5,E,SI1,3,,1258.26
677,0.4,Ideal,5,G,IF,8,,2518.7
678,1.3,Premium,4,H,SI1,3,,7662.3
679,1.71,Ideal,5,G,VS1,4,,11723.73
680,0.52,Ideal,5,D,VS2,5,,2166.26
681,0.33,Ideal,5,H,VVS1,7,,1475.79
682,1,Very Good,3,E,VVS2,6,,6342.3
683,0.5,Premium,4,F,VS1,4,,1385.9
684,0.91,Very Good,3,F,SI1,3,,4223.13
685,1.21,Ideal,5,G,VS1,4,,7517.23
686,0.51,Ideal,5,D,VS2,5,,2082.13
687,0.41,Premium,4,G,VVS2,6,,1536.73
688,0.94,Very Good,3,F,SI2,2,,4021.52
689,0.31,Premium,4,G,SI1,3,,-666.57
690,0.4,Ideal,5,D,VS2,5,,1156.7
691,1.12,Ideal,5,G,SI1,3,,6306.06
692,1,Good,2,E,SI1,3,,4822.2
693,1.48,Premium,4,H,SI2,2,,8722.64
694,0.32,Ideal,5,G,SI1,3,,-424.34
695,0.76,Good,2,G,IF,8,,5073.08
696,0.42,Ideal,5,D,SI1,3,,416.96
697,0.5,Good,2,E,SI1,3,,615.7
698,0.83,Very Good,3,J,VS2,5,,4458.09
699,0.32,Very Good,3,G,VS1,4,,-286.54
700,0.7,Ideal,5,H,VS1,4,,3226.6
701,0.73,Ideal,5,D,VS1,4,,3478.99
702,0.71,Very Good,3,D,VS1,4,,2994.53
703,0.35,Premium,4,F,SI1,3,,-330.05
704,0.42,Premium,4,H,SI1,3,,258.86
705,0.81,Ideal,5,E,VS2,5,,4606.03
706,0.32,Ideal,5,E,VS2,5,,483.66
707,0.85,Premium,4,I,I1,1,,2968.45
708,0.71,Good,2,F,SI1,3,,2382.43
709,0.32,Very Good,3,H,VVS2,6,,621.46
710,1.09,Premium,4,H,SI1,3,,5895.57
711,0.35,Premium,4,D,VS2,5,,577.95
712,0.82,Premium,4,G,SI2,2,,3170.06
713,1.03,Premium,4,H,SI1,3,,5390.79
714,0.5,Fair,1,H,VS1,4,,911.6
715,0.8,Ideal,5,H,VS2,5,,4521.9
716,1.12,Premium,4,J,SI2,2,,5693.96
717,1.62,Premium,4,G,VS2,5,,11262.46
718,1.22,Ideal,5,H,SI1,3,,7147.36
719,0.52,Ideal,5,F,VVS1,7,,3074.26
720,1.11,Good,2,I,VS2,5,,6655.63
721,0.31,Very Good,3,F,SI1,3,,-824.67
722,0.42,Ideal,5,D,VS1,4,,870.96
723,0.32,Ideal,5,H,VS2,5,,483.66
724,0.9,Very Good,3,F,SI1,3,,4139
725,1.04,Ideal,5,H,SI1,3,,5633.02
726,0.35,Ideal,5,D,VS2,5,,736.05
727,0.5,Fair,1,E,VS2,5,,1365.6
728,0.36,Very Good,3,D,SI1,3,,-404.02
729,0.3,Premium,4,D,SI2,2,,-1204.7
730,0.7,Very Good,3,E,SI1,3,,2456.4
731,0.41,Very Good,3,G,VS1,4,,470.63
732,0.4,Premium,4,D,VS2,5,,998.6
733,1.1,Premium,4,E,SI2,2,,5525.7
734,0.74,Very Good,3,E,SI2,2,,2338.92
735,0.51,Ideal,5,F,VS2,5,,2082.13
736,0.27,Very Good,3,F,VVS1,7,,654.81
737,1.01,Ideal,5,G,VS2,5,,6288.63
738,1.37,Very Good,3,I,SI2,2,,7639.11
739,1.01,Premium,4,H,SI1,3,,5222.53
740,0.39,Fair,1,E,SI1,3,,-467.83
741,0.51,Premium,4,E,SI1,3,,1016.03
742,0.5,Premium,4,G,VVS2,6,,2293.9
743,1.55,Ideal,5,G,SI2,2,,9469.65
744,0.3,Ideal,5,F,IF,8,,1677.4
745,2,Premium,4,D,SI2,2,,13097.4
746,0.35,Premium,4,J,VS1,4,,123.95
747,0.33,Ideal,5,D,VS2,5,,567.79
748,1,Very Good,3,G,VS2,5,,5888.3
749,0.93,Good,2,G,SI2,2,,3779.29
750,0.25,Premium,4,E,VVS2,6,,190.65
751,0.7,Good,2,E,SI1,3,,2298.3
752,1.01,Ideal,5,F,VS2,5,,6288.63
753,0.53,Premium,4,E,VVS2,6,,2546.29
754,1.51,Premium,4,G,VS2,5,,10337.03
755,0.23,Very Good,3,F,VS1,4,,-1043.71
756,0.38,Premium,4,F,VS2,5,,830.34
757,0.3,Good,2,G,VVS2,6,,295.1
758,0.3,Ideal,5,G,VS1,4,,-138.6
759,1.01,Good,2,I,SI1,3,,4906.33
760,0.8,Premium,4,E,SI1,3,,3455.8
761,0.7,Ideal,5,E,VS1,4,,3226.6
762,0.7,Good,2,G,VS1,4,,2752.3
763,1.26,Ideal,5,I,SI2,2,,7029.88
764,1.09,Ideal,5,G,VVS2,6,,7415.67
765,1,Very Good,3,I,SI2,2,,4526.3
766,0.6,Ideal,5,E,VS1,4,,2385.3
767,0.32,Premium,4,H,SI1,3,,-582.44
768,0.41,Ideal,5,D,VVS2,6,,1694.83
769,0.32,Premium,4,F,VS2,5,,325.56
770,0.4,Very Good,3,E,VS1,4,,386.5
771,3,Very Good,3,H,I1,1,,20898.3
772,0.56,Premium,4,E,VS2,5,,2344.68
773,0.9,Good,2,D,SI2,2,,3526.9
774,0.36,Ideal,5,H,VVS1,7,,1728.18
775,0.31,Very Good,3,E,VS2,5,,83.33
776,1.19,Very Good,3,H,SI1,3,,6578.77
777,0.56,Ideal,5,G,VVS1,7,,3410.78
778,0.7,Premium,4,F,VS2,5,,3522.5
779,0.71,Premium,4,I,VVS1,7,,4514.63
780,0.52,Very Good,3,G,VVS1,7,,2758.06
781,0.33,Premium,4,D,SI2,2,,-952.31
782,0.34,Ideal,5,F,VS2,5,,651.92
783,1.19,Very Good,3,D,VVS1,7,,8394.77
784,0.4,Premium,4,D,VS1,4,,544.6
785,1.07,Very Good,3,G,VS2,5,,6477.21
786,1.61,Ideal,5,G,VS2,5,,11336.43
787,1,Premium,4,E,VS1,4,,5592.4
788,1.07,Ideal,5,G,SI1,3,,5885.41
789,0.41,Ideal,5,F,VS2,5,,1240.83
790,2.03,Premium,4,D,SI2,2,,13349.79
791,0.58,Ideal,5,J,VS1,4,,2217.04
792,0.8,Very Good,3,F,SI1,3,,3297.7
793,0.32,Ideal,5,H,VS2,5,,483.66
794,0.7,Ideal,5,D,SI1,3,,2772.6
795,0.79,Premium,4,H,SI1,3,,3371.67
796,0.93,Very Good,3,I,VS2,5,,5299.39
797,0.37,Very Good,3,F,VS2,5,,588.11
798,0.41,Premium,4,E,VS2,5,,1082.73
799,0.31,Ideal,5,D,SI2,2,,-962.47
800,0.7,Ideal,5,E,VS2,5,,3680.6
801,0.53,Ideal,5,D,VS2,5,,2250.39
802,0.3,Very Good,3,H,VS2,5,,-0.8
803,0.95,Very Good,3,E,SI2,2,,4105.65
804,0.41,Premium,4,F,VVS2,6,,1536.73
805,1.34,Premium,4,G,SI2,2,,7544.82
806,1,Very Good,3,D,SI1,3,,4980.3
807,0.42,Premium,4,D,VS1,4,,712.86
808,0.41,Premium,4,E,VS1,4,,628.73
809,0.5,Ideal,5,G,VVS1,7,,2906
810,0.46,Premium,4,I,SI2,2,,141.38
811,0.35,Ideal,5,G,IF,8,,2098.05
812,0.82,Ideal,5,D,VS2,5,,4690.16
813,2.48,Very Good,3,F,SI2,2,,16977.54
814,0.35,Premium,4,J,VS1,4,,123.95
815,1.52,Premium,4,D,SI2,2,,9059.16
816,1.07,Ideal,5,F,VVS2,6,,7247.41
817,0.61,Ideal,5,E,SI2,2,,1561.43
818,0.39,Very Good,3,G,VVS2,6,,1210.37
819,0.71,Premium,4,G,SI2,2,,2244.63
820,0.51,Fair,1,F,SI1,3,,541.73
821,1.67,Ideal,5,D,SI1,3,,10933.21
822,1,Premium,4,G,I1,1,,4230.4
823,0.3,Good,2,F,VS2,5,,-158.9
824,1.22,Very Good,3,H,SI1,3,,6831.16
825,0.72,Ideal,5,F,VS2,5,,3848.86
826,0.94,Premium,4,E,SI1,3,,4633.62
827,0.51,Ideal,5,D,SI2,2,,720.13
828,1.01,Very Good,3,J,SI1,3,,5064.43
829,0.41,Premium,4,F,SI2,2,,-279.27
830,0.3,Very Good,3,E,SI1,3,,-908.8
831,1.11,Premium,4,I,SI2,2,,5609.83
832,0.5,Ideal,5,E,SI1,3,,1090
833,1.2,Good,2,J,VS2,5,,7412.8
834,0.56,Ideal,5,H,SI1,3,,1594.78
835,0.9,Premium,4,D,SI1,3,,4297.1
836,1,Fair,1,I,VS1,4,,5118.1
837,0.35,Ideal,5,I,VS1,4,,282.05
838,0.31,Ideal,5,D,VS2,5,,399.53
839,0.71,Very Good,3,E,VS2,5,,3448.53
840,0.3,Premium,4,G,VVS2,6,,611.3
841,0.3,Ideal,5,E,VS1,4,,-138.6
842,1,Very Good,3,E,IF,8,,7250.3
843,0.3,Premium,4,G,VVS2,6,,611.3
844,1.48,Ideal,5,E,SI2,2,,8880.74
845,1.5,Ideal,5,I,SI1,3,,9503
846,2.35,Premium,4,I,SI2,2,,16041.95
847,0.5,Good,2,D,SI1,3,,615.7
848,0.38,Ideal,5,E,SI2,2,,-373.56
849,1.06,Ideal,5,G,VS1,4,,6255.28
850,0.33,Ideal,5,G,VS2,5,,567.79
851,0.7,Fair,1,F,I1,1,,1232.2
852,0.3,Ideal,5,D,VS2,5,,315.4
853,1.5,Good,2,I,SI2,2,,8574.7
854,0.34,Very Good,3,G,VVS1,7,,1243.72
855,0.59,Premium,4,D,VS1,4,,2143.07
856,0.81,Premium,4,G,SI1,3,,3539.93
857,0.55,Ideal,5,G,VVS2,6,,2872.65
858,0.31,Ideal,5,E,VS1,4,,-54.47
859,0.91,Good,2,G,VS2,5,,4973.03
860,0.4,Premium,4,H,SI1,3,,90.6
861,0.81,Ideal,5,E,VS2,5,,4606.03
862,0.31,Ideal,5,F,IF,8,,1761.53
863,1.1,Premium,4,H,SI1,3,,5979.7
864,0.31,Very Good,3,H,VVS2,6,,537.33
865,0.45,Ideal,5,G,VVS1,7,,2485.35
866,0.32,Ideal,5,D,VS2,5,,483.66
867,0.32,Ideal,5,G,IF,8,,1845.66
868,0.31,Premium,4,J,SI1,3,,-666.57
869,1,Very Good,3,F,SI2,2,,4526.3
870,2.02,Premium,4,I,SI2,2,,13265.66
871,2.01,Premium,4,H,SI2,2,,13181.53
872,1.02,Very Good,3,F,SI1,3,,5148.56
873,1.16,Ideal,5,H,SI2,2,,6188.58
874,0.77,Very Good,3,H,SI1,3,,3045.31
875,0.59,Premium,4,I,IF,8,,3959.07
876,0.34,Premium,4,D,SI2,2,,-868.18
877,0.3,Good,2,I,IF,8,,1203.1
878,0.58,Ideal,5,I,SI1,3,,1763.04
879,0.52,Very Good,3,H,VS1,4,,1396.06
880,0.33,Premium,4,G,VVS1,7,,1317.69
881,1.38,Ideal,5,F,SI2,2,,8039.44
882,0.71,Ideal,5,F,SI2,2,,2402.73
883,0.96,Fair,1,F,SI2,2,,3873.58
884,1.02,Ideal,5,E,VVS1,7,,7280.76
885,0.53,Good,2,E,VS2,5,,1776.09
886,0.9,Premium,4,D,SI2,2,,3843.1
887,0.34,Fair,1,F,I1,1,,-1796.48
888,0.36,Very Good,3,H,VS2,5,,503.98
889,0.83,Very Good,3,F,VS1,4,,4004.09
890,1.3,Premium,4,I,IF,8,,9932.3
891,1.02,Ideal,5,E,SI1,3,,5464.76
892,0.34,Ideal,5,E,VVS2,6,,1105.92
893,0.54,Good,2,G,VS1,4,,1406.22
894,0.56,Premium,4,G,VS1,4,,1890.68
895,2.37,Ideal,5,J,VS2,5,,17730.31
896,1.15,Ideal,5,H,SI2,2,,6104.45
897,0.4,Ideal,5,H,VS1,4,,702.7
898,1.59,Ideal,5,G,VVS2,6,,11622.17
899,1.42,Very Good,3,G,VVS2,6,,9875.76
900,0.31,Ideal,5,E,VVS2,6,,853.53
901,0.57,Ideal,5,F,IF,8,,3948.91
902,0.7,Premium,4,I,VS2,5,,3522.5
903,0.41,Very Good,3,H,SI1,3,,16.63
904,0.55,Very Good,3,E,SI1,3,,1194.45
905,1.01,Ideal,5,D,VS2,5,,6288.63
906,0.24,Very Good,3,E,VVS2,6,,-51.58
907,0.3,Very Good,3,E,SI1,3,,-908.8
908,1.13,Ideal,5,F,SI1,3,,6390.19
909,0.72,Premium,4,H,SI1,3,,2782.76
910,0.52,Ideal,5,D,SI2,2,,804.26
911,1,Very Good,3,D,SI1,3,,4980.3
912,0.47,Very Good,3,D,VS1,4,,975.41
913,0.41,Ideal,5,D,SI2,2,,-121.17
914,0.51,Premium,4,G,SI1,3,,1016.03
915,1,Very Good,3,F,SI1,3,,4980.3
916,1.55,Good,2,H,VS2,5,,10357.35
917,0.71,Very Good,3,G,VS2,5,,3448.53
918,1.21,Ideal,5,G,VS2,5,,7971.23
919,1.95,Very Good,3,H,VS2,5,,13880.65
920,1.51,Premium,4,G,SI1,3,,9429.03
921,0.3,Premium,4,D,VS2,5,,157.3
922,0.72,Very Good,3,D,VS2,5,,3532.66
923,0.31,Ideal,5,E,VVS2,6,,853.53
924,0.53,Ideal,5,D,VS2,5,,2250.39
925,0.71,Very Good,3,G,SI2,2,,2086.53
926,1.07,Ideal,5,G,SI1,3,,5885.41
927,0.24,Very Good,3,E,VS1,4,,-959.58
928,1,Very Good,3,F,IF,8,,7250.3
929,0.55,Ideal,5,G,VS1,4,,1964.65
930,0.52,Ideal,5,E,VS2,5,,2166.26
931,0.72,Ideal,5,G,SI2,2,,2486.86
932,0.9,Good,2,G,SI1,3,,3980.9
933,0.41,Ideal,5,F,VS2,5,,1240.83
934,0.33,Ideal,5,G,SI1,3,,-340.21
935,0.56,Very Good,3,H,VS1,4,,1732.58
936,1.01,Very Good,3,F,SI2,2,,4610.43
937,0.46,Premium,4,F,VVS1,7,,2411.38
938,1.01,Very Good,3,I,SI1,3,,5064.43
939,0.3,Ideal,5,F,VS2,5,,315.4
940,0.3,Premium,4,G,VS1,4,,-296.7
941,2.02,Very Good,3,H,SI2,2,,13107.56
942,0.32,Ideal,5,E,VVS2,6,,937.66
943,0.35,Premium,4,I,VS1,4,,123.95
944,0.34,Ideal,5,D,SI1,3,,-256.08
945,0.6,Ideal,5,G,VS1,4,,2385.3
946,0.41,Premium,4,I,VVS2,6,,1536.73
947,1.01,Fair,1,G,VS1,4,,5202.23
948,0.54,Ideal,5,H,VVS1,7,,3242.52
949,1.01,Premium,4,E,SI2,2,,4768.53
950,0.3,Ideal,5,H,VVS1,7,,1223.4
951,1.06,Premium,4,F,I1,1,,4735.18
952,0.7,Very Good,3,F,VS2,5,,3364.4
953,1.53,Very Good,3,F,SI1,3,,9439.19
954,0.82,Very Good,3,D,SI1,3,,3465.96
955,0.32,Ideal,5,G,VVS1,7,,1391.66
956,0.27,Very Good,3,F,VS1,4,,-707.19
957,0.8,Ideal,5,F,VS2,5,,4521.9
958,1.11,Ideal,5,G,VS1,4,,6675.93
959,0.71,Premium,4,G,VS2,5,,3606.63
960,0.61,Very Good,3,F,SI2,2,,1245.23
961,1.31,Very Good,3,F,VS1,4,,8042.33
962,0.71,Very Good,3,G,SI1,3,,2540.53
963,0.9,Premium,4,E,SI2,2,,3843.1
964,0.9,Premium,4,E,VS2,5,,5205.1
965,0.74,Ideal,5,E,VS2,5,,4017.12
966,0.3,Good,2,I,VS1,4,,-612.9
967,1,Very Good,3,F,VS1,4,,5434.3
968,0.3,Ideal,5,E,VS2,5,,315.4
969,0.39,Good,2,E,VVS2,6,,1052.27
970,0.51,Premium,4,F,SI1,3,,1016.03
971,0.81,Ideal,5,E,SI2,2,,3244.03
972,1.62,Ideal,5,I,VS2,5,,11420.56
973,1.62,Premium,4,F,SI2,2,,9900.46
974,0.57,Very Good,3,E,VS2,5,,2270.71
975,0.33,Ideal,5,G,VVS1,7,,1475.79
976,0.42,Ideal,5,E,VS2,5,,1324.96
977,1.51,Premium,4,J,VS2,5,,10337.03
978,0.31,Ideal,5,D,VS2,5,,399.53
979,1.01,Very Good,3,G,SI1,3,,5064.43
980,0.41,Good,2,E,VVS1,7,,1674.53
981,0.7,Premium,4,F,SI1,3,,2614.5
982,0.9,Good,2,H,SI2,2,,3526.9
983,1.75,Good,2,D,SI1,3,,11131.95
984,0.36,Ideal,5,F,SI1,3,,-87.82
985,0.31,Ideal,5,F,IF,8,,1761.53
986,0.8,Very Good,3,D,SI1,3,,3297.7
987,0.32,Good,2,E,VS1,4,,-444.64
988,1.01,Good,2,F,VS2,5,,5814.33
989,0.72,Premium,4,I,SI1,3,,2782.76
990,0.71,Very Good,3,G,VS2,5,,3448.53
991,1.09,Ideal,5,E,SI2,2,,5599.67
992,0.63,Very Good,3,G,VS1,4,,2321.49
993,0.51,Ideal,5,D,VS1,4,,1628.13
994,1.01,Very Good,3,G,VS2,5,,5972.43
995,1.59,Premium,4,H,SI2,2,,9648.07
996,0.54,Premium,4,F,VS1,4,,1722.42
997,0.28,Very Good,3,G,VVS2,6,,284.94
998,0.54,Very Good,3,G,VVS1,7,,2926.32
999,1.52,Ideal,5,H,SI1,3,,9671.26
1000,1.13,Ideal,5,I,VS2,5,,7298.19
1001,1.07,Ideal,5,G,VS2,5,,6793.41
1002,0.31,Ideal,5,H,VS2,5,,399.53
1003,0.7,Ideal,5,G,VS2,5,,3680.6
1004,0.33,Ideal,5,H,VVS1,7,,1475.79
1005,1.65,Fair,1,J,SI1,3,,10132.55
1006,0.54,Ideal,5,G,VVS2,6,,2788.52
1007,0.71,Very Good,3,F,VS2,5,,3448.53
1008,0.7,Very Good,3,G,VS2,5,,3364.4
1009,2.05,Premium,4,H,VS2,5,,14880.05
1010,1,Good,2,G,SI1,3,,4822.2
1011,1.65,Ideal,5,G,VS2,5,,11672.95
1012,0.37,Good,2,H,VS2,5,,430.01
1013,1.15,Premium,4,E,SI2,2,,5946.35
1014,0.57,Ideal,5,H,VS2,5,,2586.91
1015,0.72,Very Good,3,J,SI1,3,,2624.66
1016,0.71,Ideal,5,D,SI1,3,,2856.73
1017,0.7,Very Good,3,F,SI1,3,,2456.4
1018,1.38,Very Good,3,F,VS1,4,,8631.24
1019,0.73,Ideal,5,E,VVS2,6,,4386.99
1020,0.39,Very Good,3,E,VVS2,6,,1210.37
1021,2.14,Premium,4,D,SI2,2,,14275.22
1022,1.12,Very Good,3,E,VS2,5,,6897.86
1023,0.36,Very Good,3,D,SI1,3,,-404.02
1024,0.42,Very Good,3,D,VS1,4,,554.76
1025,0.5,Ideal,5,I,SI1,3,,1090
1026,2,Premium,4,J,VS2,5,,14459.4
1027,0.3,Premium,4,F,VS2,5,,157.3
1028,1.35,Premium,4,H,VS1,4,,8536.95
1029,1.57,Premium,4,G,SI1,3,,9933.81
1030,0.31,Premium,4,G,VS2,5,,241.43
1031,0.33,Premium,4,E,VS2,5,,409.69
1032,1.02,Premium,4,H,SI1,3,,5306.66
1033,1.01,Premium,4,G,VS2,5,,6130.53
1034,0.83,Ideal,5,H,SI2,2,,3412.29
1035,0.43,Very Good,3,G,SI1,3,,184.89
1036,1.2,Premium,4,H,SI2,2,,6367
1037,1.01,Ideal,5,E,VS2,5,,6288.63
1038,1.23,Ideal,5,I,SI2,2,,6777.49
1039,0.53,Ideal,5,I,SI1,3,,1342.39
1040,1,Ideal,5,H,SI2,2,,4842.5
1041,0.4,Very Good,3,E,IF,8,,2202.5
1042,0.71,Premium,4,J,VVS2,6,,4060.63
1043,1.33,Very Good,3,H,SI2,2,,7302.59
1044,0.43,Very Good,3,G,SI2,2,,-269.11
1045,0.31,Very Good,3,G,VS1,4,,-370.67
1046,1.21,Ideal,5,J,SI1,3,,7063.23
1047,1.55,Premium,4,I,VS2,5,,10673.55
1048,0.8,Ideal,5,F,VS2,5,,4521.9
1049,0.71,Good,2,I,SI1,3,,2382.43
1050,0.46,Fair,1,G,VS2,5,,1029.08
1051,0.3,Ideal,5,I,SI1,3,,-592.6
1052,1.21,Good,2,J,VVS2,6,,7950.93
1053,2.14,Ideal,5,I,SI2,2,,14433.32
1054,0.7,Good,2,I,SI2,2,,1844.3
1055,1.03,Ideal,5,H,SI1,3,,5548.89
